block,usd_price,usd_amt,btc_price,btc_amt,eth_price,eth_amt
12900000,1,40118.847779,38297.99283256388,1.04580465,2306.3777509477777,17.27377120786023
13000000,1,47352.660511,45591.82008349237,1.03500259,3173.25680378058,14.925196083098287
13100000,1,47360.087856,46875.22149976172,1.01053371,3105.7265679248017,15.292074625000065
13200000,1,48105.010191,45682.01474741498,1.05448679,3324.8146577202597,14.496181176002443
13300000,1,44340.886046,42045.948679724934,1.05685073,2834.7493556223085,15.71778685277117
13400000,1,52987.660255,57147.60189544571,0.92642511,3512.8584782234793,15.039345268477053
13500000,1,55972.076243,58978.7104022509,0.94677573,3994.6305624946403,13.953687171088967
13600000,1,60858.670429,64749.352863390515,0.94294019,4730.4133874496265,12.902962116307616
13700000,1,54511.652414,54188.972382692285,1.0063193,4041.453396731137,13.511925319126258
13800000,1,50778.750329,46715.46854614922,1.08839788,3785.1942757454817,13.442375713453615
13900000,1,51146.98644,47841.10813352887,1.07315026,3788.3621002319733,13.52206952240072
14000000,1,46858.381706,42723.38421066923,1.10183553,3267.1351063779875,14.414464765585462
14100000,1,41509.914639,37817.66372448308,1.10094355,2541.7740793925245,16.31445936851419
14200000,1,45051.632011,41971.70989793341,1.06529467,2870.766706746431,15.56446013207647
14300000,1,45534.305665,43411.39674027472,1.04888165,2917.3027494174794,15.638913536140157
14400000,1,44014.796643,41314.159846328315,1.06896766,2776.371643023266,15.910375560923677
14500000,1,48106.854689,45115.38093244286,1.06392473,3276.604075829587,14.650654560559365
14600000,1,45252.20844,40355.68030650911,1.12063737,3060.438938184296,14.797057120178344
14700000,1,43180.753003,38179.32677907973,1.12901397,2794.2262992670444,15.405656208912916
